inn,name,okved,region,moscow,fio,phones,emails,status,timestamp
78654931,магазин Москва #1,47.0,77,1,Директор,+74951234566,info@magnit.ru,Действующее,2026-04-19
78454062,аптека Москва #2,47.75,77,1,Директор,+74951234562,info@ozon.ru,Действующее,2026-04-19
78974648,аптека Москва #3,47.75,77,1,Директор,+74951234560,info@36-6.ru,Действующее,2026-04-19
78406394,аптека Москва #4,47.75,77,1,Директор,+74951234586,info@auchan.ru,Действующее,2026-04-19
78587282,магазин Москва #5,47.0,77,1,Директор,+74951234560,info@magnit.ru,Действующее,2026-04-19
78462082,аптека Москва #6,47.75,77,1,Директор,+74951234560,info@apteka.ru,Действующее,2026-04-19
78854298,магазин Москва #7,47.0,77,1,Директор,+74951234561,info@rigla.ru,Действующее,2026-04-19
78518252,магазин Москва #8,47.0,77,1,Директор,+74951234560,info@ozon.ru,Действующее,2026-04-19
78452100,аптека Москва #9,47.75,77,1,Директор,+74951234568,info@rigla.ru,Действующее,2026-04-19
78691376,аптека Москва #10,47.75,77,1,Директор,+74951234588,info@auchan.ru,Действующее,2026-04-19
78748723,магазин Москва #11,47.0,77,1,Директор,+74951234583,info@magnit.ru,Действующее,2026-04-19
78121575,аптека Москва #12,47.75,77,1,Директор,+74951234584,info@ozon.ru,Действующее,2026-04-19
78518531,аптека Москва #13,47.75,77,1,Директор,+74951234580,info@36-6.ru,Действующее,2026-04-19
78247889,аптека Москва #14,47.75,77,1,Директор,+74951234561,info@ozon.ru,Действующее,2026-04-19
78803936,аптека Москва #15,47.75,77,1,Директор,+74951234576,info@ozon.ru,Действующее,2026-04-19
78378536,аптека Москва #16,47.75,77,1,Директор,+74951234585,info@rigla.ru,Действующее,2026-04-19
78608413,аптека Москва #17,47.75,77,1,Директор,+74951234574,info@36-6.ru,Действующее,2026-04-19
78801216,магазин Москва #18,47.0,77,1,Директор,+74951234575,info@36-6.ru,Действующее,2026-04-19
78971205,аптека Москва #19,47.75,77,1,Директор,+74951234566,info@rigla.ru,Действующее,2026-04-19
78530801,магазин Москва #20,47.0,77,1,Директор,+74951234561,info@rigla.ru,Действующее,2026-04-19
