inn,name,okved,region,moscow,fio,phones,emails,status,timestamp
78957055,аптека Москва #1,47.75,77,1,Директор,+74951234589,info@magnit.ru,Действующее,2026-04-19
78681555,магазин Москва #2,47.0,77,1,Директор,+74951234563,info@auchan.ru,Действующее,2026-04-19
78237759,магазин Москва #3,47.0,77,1,Директор,+74951234585,info@ozon.ru,Действующее,2026-04-19
78766058,аптека Москва #4,47.75,77,1,Директор,+74951234562,info@magnit.ru,Действующее,2026-04-19
78675116,аптека Москва #5,47.75,77,1,Директор,+74951234565,info@36-6.ru,Действующее,2026-04-19
78972204,аптека Москва #6,47.75,77,1,Директор,+74951234569,info@ozon.ru,Действующее,2026-04-19
78263473,магазин Москва #7,47.0,77,1,Директор,+74951234568,info@apteka.ru,Действующее,2026-04-19
78771123,аптека Москва #8,47.75,77,1,Директор,+74951234583,info@36-6.ru,Действующее,2026-04-19
78846238,аптека Москва #9,47.75,77,1,Директор,+74951234571,info@auchan.ru,Действующее,2026-04-19
78184737,магазин Москва #10,47.0,77,1,Директор,+74951234576,info@36-6.ru,Действующее,2026-04-19
78508064,магазин Москва #11,47.0,77,1,Директор,+74951234564,info@ozon.ru,Действующее,2026-04-19
78801304,магазин Москва #12,47.0,77,1,Директор,+74951234575,info@ozon.ru,Действующее,2026-04-19
78260575,аптека Москва #13,47.75,77,1,Директор,+74951234587,info@36-6.ru,Действующее,2026-04-19
78346411,аптека Москва #14,47.75,77,1,Директор,+74951234567,info@apteka.ru,Действующее,2026-04-19
78738119,аптека Москва #15,47.75,77,1,Директор,+74951234571,info@ozon.ru,Действующее,2026-04-19
78760812,аптека Москва #16,47.75,77,1,Директор,+74951234581,info@rigla.ru,Действующее,2026-04-19
78713442,магазин Москва #17,47.0,77,1,Директор,+74951234571,info@36-6.ru,Действующее,2026-04-19
78218434,аптека Москва #18,47.75,77,1,Директор,+74951234589,info@apteka.ru,Действующее,2026-04-19
78492130,аптека Москва #19,47.75,77,1,Директор,+74951234581,info@apteka.ru,Действующее,2026-04-19
78106954,аптека Москва #20,47.75,77,1,Директор,+74951234561,info@auchan.ru,Действующее,2026-04-19
