inn,name,okved,region,moscow,fio,phones,emails,status,timestamp
77000000,магазин Москва #1,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000001,магазин Москва #2,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000002,магазин Москва #3,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000003,магазин Москва #4,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000004,магазин Москва #5,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000005,магазин Москва #6,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000006,магазин Москва #7,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000007,магазин Москва #8,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000008,магазин Москва #9,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000009,магазин Москва #10,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000010,магазин Москва #11,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000011,магазин Москва #12,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000012,магазин Москва #13,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000013,магазин Москва #14,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000014,магазин Москва #15,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000015,магазин Москва #16,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000016,магазин Москва #17,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000017,магазин Москва #18,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000018,магазин Москва #19,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000019,магазин Москва #20,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000020,кафе Москва #1,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000021,кафе Москва #2,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000022,кафе Москва #3,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000023,кафе Москва #4,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000024,кафе Москва #5,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000025,кафе Москва #6,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000026,кафе Москва #7,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000027,кафе Москва #8,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000028,кафе Москва #9,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000029,кафе Москва #10,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000030,кафе Москва #11,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000031,кафе Москва #12,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000032,кафе Москва #13,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000033,кафе Москва #14,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000034,кафе Москва #15,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000035,кафе Москва #16,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000036,кафе Москва #17,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000037,кафе Москва #18,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000038,кафе Москва #19,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000039,кафе Москва #20,56.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000040,парикмахерская Москва #1,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000041,парикмахерская Москва #2,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000042,парикмахерская Москва #3,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000043,парикмахерская Москва #4,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000044,парикмахерская Москва #5,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000045,парикмахерская Москва #6,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000046,парикмахерская Москва #7,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000047,парикмахерская Москва #8,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000048,парикмахерская Москва #9,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000049,парикмахерская Москва #10,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000050,парикмахерская Москва #11,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000051,парикмахерская Москва #12,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000052,парикмахерская Москва #13,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000053,парикмахерская Москва #14,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000054,парикмахерская Москва #15,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000055,парикмахерская Москва #16,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
77000056,парикмахерская Москва #17,47.0,77,1,Директор,74951234567,"['info@{query.lower().replace("" "", """")}.ru']",Действующее,2026-04-19
