inn,name,okved,region,moscow,fio,phones,emails,status,timestamp
78000000,магазин Москва #1,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000001,магазин Москва #2,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000002,магазин Москва #3,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000003,магазин Москва #4,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000004,магазин Москва #5,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000005,магазин Москва #6,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000006,магазин Москва #7,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000007,магазин Москва #8,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000008,магазин Москва #9,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000009,магазин Москва #10,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000010,магазин Москва #11,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000011,магазин Москва #12,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000012,магазин Москва #13,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000013,магазин Москва #14,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000014,магазин Москва #15,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000015,магазин Москва #16,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000016,магазин Москва #17,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000017,магазин Москва #18,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000018,магазин Москва #19,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000019,магазин Москва #20,47.0,77,1,Директор,74951234567,info@магазинмосква.ru,Действующее,2026-04-19
78000020,кафе Москва #1,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000021,кафе Москва #2,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000022,кафе Москва #3,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000023,кафе Москва #4,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000024,кафе Москва #5,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000025,кафе Москва #6,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000026,кафе Москва #7,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000027,кафе Москва #8,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000028,кафе Москва #9,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000029,кафе Москва #10,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000030,кафе Москва #11,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000031,кафе Москва #12,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000032,кафе Москва #13,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000033,кафе Москва #14,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000034,кафе Москва #15,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000035,кафе Москва #16,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000036,кафе Москва #17,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000037,кафе Москва #18,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000038,кафе Москва #19,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000039,кафе Москва #20,56.0,77,1,Директор,74951234567,info@кафемосква.ru,Действующее,2026-04-19
78000040,парикмахерская Москва #1,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000041,парикмахерская Москва #2,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000042,парикмахерская Москва #3,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000043,парикмахерская Москва #4,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000044,парикмахерская Москва #5,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000045,парикмахерская Москва #6,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000046,парикмахерская Москва #7,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000047,парикмахерская Москва #8,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000048,парикмахерская Москва #9,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000049,парикмахерская Москва #10,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000050,парикмахерская Москва #11,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000051,парикмахерская Москва #12,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000052,парикмахерская Москва #13,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000053,парикмахерская Москва #14,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000054,парикмахерская Москва #15,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000055,парикмахерская Москва #16,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000056,парикмахерская Москва #17,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000057,парикмахерская Москва #18,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000058,парикмахерская Москва #19,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000059,парикмахерская Москва #20,96.0,77,1,Директор,74951234567,info@парикмахерскаямосква.ru,Действующее,2026-04-19
78000060,салон красоты Москва #1,96.0,77,1,Директор,74951234567,info@салонкрасотымосква.ru,Действующее,2026-04-19
78000061,салон красоты Москва #2,96.0,77,1,Директор,74951234567,info@салонкрасотымосква.ru,Действующее,2026-04-19
78000062,салон красоты Москва #3,96.0,77,1,Директор,74951234567,info@салонкрасотымосква.ru,Действующее,2026-04-19
78000063,салон красоты Москва #4,96.0,77,1,Директор,74951234567,info@салонкрасотымосква.ru,Действующее,2026-04-19
78000064,салон красоты Москва #5,96.0,77,1,Директор,74951234567,info@салонкрасотымосква.ru,Действующее,2026-04-19
78000065,салон красоты Москва #6,96.0,77,1,Директор,74951234567,info@салонкрасотымосква.ru,Действующее,2026-04-19
78000066,салон красоты Москва #7,96.0,77,1,Директор,74951234567,info@салонкрасотымосква.ru,Действующее,2026-04-19
78000067,салон красоты Москва #8,96.0,77,1,Директор,74951234567,info@салонкрасотымосква.ru,Действующее,2026-04-19
78000068,салон красоты Москва #9,96.0,77,1,Директор,74951234567,info@салонкрасотымосква.ru,Действующее,2026-04-19
78000069,салон красоты Москва #10,96.0,77,1,Директор,74951234567,info@салонкрасотымосква.ru,Действующее,2026-04-19
78000070,салон красоты Москва #11,96.0,77,1,Директор,74951234567,info@салонкрасотымосква.ru,Действующее,2026-04-19
78000071,салон красоты Москва #12,96.0,77,1,Директор,74951234567,info@салонкрасотымосква.ru,Действующее,2026-04-19
