inn,name,okved,region,moscow,fio,phones,emails,status,timestamp
77000000,магазин Москва #1,47.0,77,1,Директор,74951234567,info@магазинмосква1.ru,Действующее,2026-04-19
77000001,магазин Москва #2,47.0,77,1,Директор,74951234567,info@магазинмосква2.ru,Действующее,2026-04-19
77000002,магазин Москва #3,47.0,77,1,Директор,74951234567,info@магазинмосква3.ru,Действующее,2026-04-19
77000003,магазин Москва #4,47.0,77,1,Директор,74951234567,info@магазинмосква4.ru,Действующее,2026-04-19
77000004,магазин Москва #5,47.0,77,1,Директор,74951234567,info@магазинмосква5.ru,Действующее,2026-04-19
77000005,магазин Москва #6,47.0,77,1,Директор,74951234567,info@магазинмосква6.ru,Действующее,2026-04-19
77000006,магазин Москва #7,47.0,77,1,Директор,74951234567,info@магазинмосква7.ru,Действующее,2026-04-19
77000007,магазин Москва #8,47.0,77,1,Директор,74951234567,info@магазинмосква8.ru,Действующее,2026-04-19
77000008,магазин Москва #9,47.0,77,1,Директор,74951234567,info@магазинмосква9.ru,Действующее,2026-04-19
77000009,магазин Москва #10,47.0,77,1,Директор,74951234567,info@магазинмосква10.ru,Действующее,2026-04-19
77000010,магазин Москва #11,47.0,77,1,Директор,74951234567,info@магазинмосква11.ru,Действующее,2026-04-19
77000011,магазин Москва #12,47.0,77,1,Директор,74951234567,info@магазинмосква12.ru,Действующее,2026-04-19
77000012,магазин Москва #13,47.0,77,1,Директор,74951234567,info@магазинмосква13.ru,Действующее,2026-04-19
77000013,магазин Москва #14,47.0,77,1,Директор,74951234567,info@магазинмосква14.ru,Действующее,2026-04-19
77000014,магазин Москва #15,47.0,77,1,Директор,74951234567,info@магазинмосква15.ru,Действующее,2026-04-19
77000015,магазин Москва #16,47.0,77,1,Директор,74951234567,info@магазинмосква16.ru,Действующее,2026-04-19
77000016,магазин Москва #17,47.0,77,1,Директор,74951234567,info@магазинмосква17.ru,Действующее,2026-04-19
77000017,магазин Москва #18,47.0,77,1,Директор,74951234567,info@магазинмосква18.ru,Действующее,2026-04-19
77000018,магазин Москва #19,47.0,77,1,Директор,74951234567,info@магазинмосква19.ru,Действующее,2026-04-19
77000019,магазин Москва #20,47.0,77,1,Директор,74951234567,info@магазинмосква20.ru,Действующее,2026-04-19
77000020,кафе Москва #1,56.0,77,1,Директор,74951234567,info@кафемосква1.ru,Действующее,2026-04-19
