Компания,Тип,Контакт,Действие,okved,status,eligible,priority,blacklist,region,okved_group,moscow
Медкнижка срочно Москва,email,89037193794@mail.ru,"Скидка 25% ул. 1-я Брестская, 66 +7(495)212-12-12",56,✅,True,high,False,77000000,56,True
Медкнижка срочно Москва,phone,8903719379,"Скидка 25% ул. 1-я Брестская, 66 +7(495)212-12-12",56,✅,True,high,False,77000000,56,True
Медкнижка срочно Москва,phone,+79175738991,"Скидка 25% ул. 1-я Брестская, 66 +7(495)212-12-12",56,✅,True,high,False,77000000,56,True
Медкнижка срочно Москва,phone,+79035378991,"Скидка 25% ул. 1-я Брестская, 66 +7(495)212-12-12",56,✅,True,high,False,77000000,56,True
Медкнижка Москва дешево,phone,+79533626602,"Скидка 25% ул. 1-я Брестская, 66 +7(495)212-12-12",56,✅,True,high,False,77000000,56,True
NV Medica Медкнижка Москва,email,office@nv-medica.ru,"Скидка 25% ул. 1-я Брестская, 66 +7(495)212-12-12",56,✅,True,high,False,77000000,56,True
NV Medica Медкнижка Москва,phone,+74951501656,"Скидка 25% ул. 1-я Брестская, 66 +7(495)212-12-12",56,✅,True,high,False,77000000,56,True
Medcentr Sitimed Медкнижка,email,info@medcentr-sitimed.ru,"Скидка 25% ул. 1-я Брестская, 66 +7(495)212-12-12",56,✅,True,high,False,77000000,56,True
Medcentr Sitimed Медкнижка,phone,+74952129031,"Скидка 25% ул. 1-я Брестская, 66 +7(495)212-12-12",56,✅,True,high,False,77000000,56,True
Medcentr Sitimed Медкнижка,phone,84952129031,"Скидка 25% ул. 1-я Брестская, 66 +7(495)212-12-12",56,✅,True,high,False,77000000,56,True
Mobil-Med Медкнижки Москва,email,info@mobil-med.org,"Скидка 25% ул. 1-я Брестская, 66 +7(495)212-12-12",56,✅,True,high,False,77000000,56,True
Mobil-Med Медкнижки Москва,phone,+74957810003,"Скидка 25% ул. 1-я Брестская, 66 +7(495)212-12-12",56,✅,True,high,False,77000000,56,True
Medosmotry 365 Москва,email,info@company24.com,"Скидка 25% ул. 1-я Брестская, 66 +7(495)212-12-12",56,✅,True,high,False,77000000,56,True
